"","Resample1"
"1",2
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",11
"9",12
"10",13
"11",17
"12",18
"13",22
"14",23
"15",25
"16",26
"17",27
"18",30
"19",33
"20",34
"21",35
"22",36
"23",39
"24",41
"25",42
"26",44
"27",45
"28",46
"29",50
"30",51
"31",53
"32",54
"33",55
"34",56
"35",57
"36",58
"37",59
"38",60
"39",61
"40",62
"41",63
"42",64
"43",65
"44",66
"45",68
"46",69
"47",70
"48",71
"49",72
"50",73
"51",76
"52",77
"53",78
"54",79
"55",80
"56",81
"57",82
"58",84
"59",85
"60",87
"61",88
"62",90
"63",92
"64",93
"65",95
"66",96
"67",97
"68",99
"69",101
"70",102
"71",104
"72",105
"73",106
"74",108
"75",109
"76",110
"77",111
"78",112
"79",113
"80",114
"81",115
"82",116
"83",118
"84",119
"85",120
"86",121
"87",122
"88",123
"89",125
"90",126
"91",128
"92",129
"93",130
"94",131
"95",132
"96",136
"97",138
"98",139
"99",141
"100",143
"101",144
"102",146
"103",148
"104",149
"105",150
"106",152
"107",153
"108",154
"109",155
"110",156
"111",158
"112",160
"113",162
"114",163
"115",164
"116",166
"117",167
"118",168
"119",170
"120",171
"121",175
"122",176
"123",177
"124",178
"125",181
"126",183
"127",184
"128",186
"129",187
"130",188
"131",189
"132",192
"133",193
"134",194
"135",195
"136",196
"137",197
"138",198
"139",199
"140",200
"141",201
"142",202
"143",204
"144",206
"145",207
"146",209
"147",210
"148",211
"149",212
"150",213
"151",215
"152",216
"153",217
"154",219
"155",221
"156",222
"157",223
"158",225
"159",226
"160",228
"161",229
"162",230
"163",231
"164",233
"165",234
"166",235
"167",238
"168",239
"169",241
"170",242
"171",243
"172",245
"173",246
"174",248
"175",249
"176",250
"177",253
"178",256
"179",258
"180",259
"181",261
"182",264
"183",265
"184",266
"185",268
"186",270
"187",271
"188",274
"189",275
"190",277
"191",278
"192",280
"193",281
"194",283
"195",285
"196",288
"197",289
"198",291
"199",292
"200",294
"201",295
"202",296
"203",297
"204",298
"205",299
"206",300
"207",301
"208",302
"209",303
"210",308
"211",309
"212",312
"213",313
"214",314
"215",315
"216",316
"217",317
"218",318
"219",319
"220",320
"221",321
"222",322
"223",323
"224",326
"225",327
"226",328
"227",329
"228",330
"229",331
"230",332
"231",334
"232",337
"233",338
"234",339
"235",340
"236",341
"237",344
"238",346
"239",348
"240",349
"241",350
"242",351
"243",352
"244",353
"245",356
"246",359
"247",360
"248",362
"249",363
"250",364
"251",365
"252",367
"253",368
"254",369
"255",370
"256",372
"257",373
"258",375
"259",377
"260",378
"261",380
"262",381
"263",382
"264",383
"265",384
"266",386
"267",387
"268",388
"269",389
"270",391
"271",393
"272",394
"273",395
"274",396
"275",398
"276",400
"277",401
"278",402
"279",403
"280",404
"281",405
"282",408
"283",409
"284",411
"285",413
"286",414
"287",417
"288",419
"289",420
"290",421
"291",422
"292",423
"293",424
"294",425
"295",427
"296",428
"297",429
"298",430
"299",431
"300",432
"301",433
"302",434
"303",435
"304",436
"305",438
"306",439
"307",441
"308",442
"309",444
"310",445
"311",446
"312",447
"313",448
"314",449
"315",450
"316",452
"317",457
"318",458
"319",461
"320",463
"321",465
"322",468
"323",472
"324",476
"325",477
"326",480
"327",481
"328",482
"329",483
"330",485
"331",486
"332",487
"333",488
"334",489
"335",490
"336",491
"337",492
"338",493
"339",494
"340",496
"341",498
"342",499
"343",500
"344",501
"345",502
"346",503
"347",504
"348",506
"349",507
"350",508
"351",509
"352",511
"353",513
"354",514
"355",515
"356",518
"357",519
"358",520
"359",521
"360",522
"361",523
"362",524
"363",525
"364",527
"365",528
"366",529
"367",530
"368",531
"369",532
"370",533
"371",534
"372",535
"373",536
"374",537
"375",539
"376",540
"377",541
"378",542
"379",544
"380",545
"381",546
"382",547
"383",548
"384",549
"385",551
"386",552
"387",553
"388",554
"389",555
"390",556
